entry_id,work_date,consultant_id,project_id,hours,billable_flag
135,2023-07-06,1,10.0,6.38,1
136,2023-07-07,1,,6.7,0
137,2023-07-10,1,14.0,7.64,1
138,2023-07-11,1,,6.94,0
139,2023-07-12,1,,6.43,0
140,2023-07-13,1,8.0,7.37,1
141,2023-07-14,1,11.0,7.8,1
142,2023-07-17,1,15.0,6.25,1
143,2023-07-18,1,16.0,6.98,1
144,2023-07-19,1,,7.18,0
145,2023-07-20,1,,6.01,0
146,2023-07-21,1,8.0,7.46,1
147,2023-07-24,1,,6.27,0
148,2023-07-25,1,8.0,7.1,1
149,2023-07-26,1,,7.21,0
150,2023-07-27,1,,6.76,0
151,2023-07-28,1,,7.29,0
152,2023-07-31,1,,6.75,0
153,2023-08-01,1,18.0,7.16,1
154,2023-08-02,1,8.0,6.55,1
155,2023-08-03,1,,7.12,0
156,2023-08-04,1,20.0,6.03,1
157,2023-08-07,1,,7.04,0
158,2023-08-08,1,,6.6,0
159,2023-08-09,1,,7.07,0
160,2023-08-10,1,3.0,7.92,1
161,2023-08-11,1,,7.27,0
162,2023-08-14,1,14.0,7.71,1
163,2023-08-15,1,,6.68,0
164,2023-08-16,1,20.0,7.19,1
165,2023-08-17,1,,6.75,0
166,2023-08-18,1,,7.78,0
167,2023-08-21,1,21.0,7.81,1
168,2023-08-22,1,,7.31,0
169,2023-08-23,1,19.0,7.43,1
170,2023-08-24,1,20.0,7.22,1
171,2023-08-25,1,16.0,6.45,1
172,2023-08-28,1,16.0,7.38,1
173,2023-08-29,1,23.0,7.04,1
174,2023-08-30,1,11.0,7.06,1
175,2023-08-31,1,11.0,7.49,1
176,2023-09-01,1,11.0,7.87,1
177,2023-09-04,1,8.0,7.71,1
178,2023-09-05,1,8.0,6.55,1
179,2023-09-06,1,21.0,7.6,1
180,2023-09-07,1,,7.64,0
181,2023-09-08,1,21.0,6.3,1
182,2023-09-11,1,,6.51,0
183,2023-09-12,1,24.0,6.21,1
184,2023-09-13,1,,6.07,0
185,2023-09-14,1,,7.21,0
186,2023-09-15,1,,6.13,0
187,2023-09-17,1,,3.31,0
188,2023-09-18,1,,7.18,0
189,2023-09-19,1,24.0,7.14,1
190,2023-09-20,1,20.0,6.7,1
191,2023-09-21,1,24.0,6.81,1
192,2023-09-22,1,22.0,7.05,1
193,2023-09-25,1,20.0,6.52,1
194,2023-09-26,1,,7.14,0
195,2023-09-27,1,23.0,7.91,1
196,2023-09-28,1,19.0,6.13,1
197,2023-09-29,1,16.0,6.4,1
198,2023-10-02,1,22.0,6.08,1
199,2023-10-03,1,,6.67,0
200,2023-10-04,1,22.0,6.8,1
201,2023-10-05,1,24.0,7.06,1
202,2023-10-06,1,23.0,7.86,1
203,2023-10-09,1,,7.57,0
204,2023-10-10,1,23.0,6.17,1
205,2023-10-11,1,,7.75,0
206,2023-10-12,1,21.0,7.14,1
207,2023-10-13,1,,6.55,0
208,2023-10-16,1,21.0,7.16,1
209,2023-10-17,1,21.0,7.6,1
210,2023-10-18,1,,7.57,0
211,2023-10-19,1,26.0,7.8,1
212,2023-10-20,1,20.0,6.87,1
213,2023-10-23,1,,6.82,0
214,2023-10-24,1,20.0,7.65,1
215,2023-10-25,1,21.0,6.54,1
216,2023-10-26,1,25.0,6.6,1
217,2023-10-27,1,28.0,7.96,1
218,2023-10-30,1,28.0,6.68,1
219,2023-10-31,1,24.0,6.38,1
220,2023-11-01,1,22.0,6.04,1
221,2023-11-02,1,26.0,6.75,1
222,2023-11-03,1,,6.22,0
223,2023-11-06,1,,6.03,0
224,2023-11-07,1,26.0,6.71,1
225,2023-11-08,1,21.0,7.14,1
226,2023-11-09,1,,6.02,0
227,2023-11-10,1,28.0,6.24,1
228,2023-11-13,1,,6.94,0
229,2023-11-14,1,27.0,6.94,1
230,2023-11-15,1,22.0,6.45,1
231,2023-11-16,1,28.0,6.97,1
232,2023-11-17,1,29.0,7.42,1
233,2023-11-20,1,27.0,7.71,1
234,2023-11-21,1,29.0,7.61,1
235,2023-11-22,1,22.0,6.1,1
236,2023-11-23,1,30.0,7.49,1
237,2023-11-24,1,22.0,6.16,1
238,2023-11-27,1,30.0,7.85,1
239,2023-11-28,1,25.0,6.27,1
240,2023-11-29,1,,7.95,0
241,2023-11-30,1,27.0,7.81,1
242,2023-12-01,1,30.0,6.65,1
243,2023-12-04,1,32.0,7.65,1
244,2023-12-05,1,22.0,6.04,1
245,2023-12-06,1,,6.47,0
246,2023-12-07,1,,7.23,0
247,2023-12-08,1,24.0,7.53,1
248,2023-12-11,1,,6.1,0
249,2023-12-12,1,21.0,6.87,1
250,2023-12-13,1,16.0,7.98,1
251,2023-12-14,1,26.0,6.98,1
252,2023-12-15,1,,6.43,0
253,2023-12-18,1,31.0,7.2,1
254,2023-12-19,1,22.0,7.78,1
255,2023-12-20,1,26.0,6.13,1
256,2023-12-21,1,30.0,7.85,1
257,2023-12-22,1,25.0,7.46,1
258,2023-12-25,1,,6.23,0
259,2023-12-26,1,26.0,7.2,1
260,2023-12-27,1,,7.72,0
261,2023-12-28,1,35.0,7.24,1
262,2023-12-29,1,16.0,6.32,1
263,2023-12-31,1,35.0,3.86,1
264,2024-01-01,1,33.0,7.55,1
265,2024-01-02,1,,6.47,0
266,2024-01-03,1,,6.85,0
267,2024-01-04,1,33.0,6.91,1
268,2024-01-05,1,25.0,7.8,1
269,2024-01-08,1,,6.96,0
270,2024-01-09,1,,6.86,0
271,2024-01-10,1,34.0,7.15,1
272,2024-01-11,1,16.0,6.97,1
273,2024-01-12,1,26.0,7.02,1
274,2024-01-15,1,,6.02,0
275,2024-01-16,1,21.0,7.67,1
276,2024-01-17,1,33.0,6.95,1
277,2024-01-18,1,,7.8,0
278,2024-01-19,1,,6.45,0
279,2024-01-22,1,26.0,6.82,1
280,2024-01-23,1,25.0,6.34,1
281,2024-01-24,1,21.0,6.83,1
282,2024-01-25,1,25.0,7.39,1
283,2024-01-26,1,,7.48,0
284,2024-01-29,1,33.0,7.2,1
285,2024-01-30,1,29.0,6.16,1
286,2024-01-31,1,21.0,7.01,1
287,2024-02-01,1,,7.14,0
288,2024-02-02,1,32.0,6.61,1
289,2024-02-05,1,,7.36,0
290,2024-02-06,1,,7.93,0
291,2024-02-07,1,33.0,6.56,1
292,2024-02-08,1,26.0,7.86,1
293,2024-02-09,1,32.0,7.41,1
294,2024-02-12,1,,6.96,0
295,2024-02-13,1,,6.75,0
296,2024-02-14,1,32.0,6.34,1
297,2024-02-15,1,37.0,6.42,1
298,2024-02-16,1,22.0,7.97,1
299,2024-02-19,1,21.0,7.33,1
300,2024-02-20,1,,6.65,0
301,2024-02-21,1,24.0,7.79,1
302,2024-02-22,1,,7.15,0
303,2024-02-23,1,37.0,6.95,1
304,2024-02-26,1,32.0,6.92,1
305,2024-02-27,1,34.0,7.41,1
306,2024-02-28,1,32.0,6.45,1
307,2024-02-29,1,24.0,6.07,1
308,2024-03-01,1,,6.07,0
309,2024-03-04,1,31.0,7.64,1
310,2024-03-05,1,31.0,6.06,1
311,2024-03-06,1,38.0,7.82,1
312,2024-03-07,1,38.0,7.97,1
313,2024-03-08,1,29.0,7.18,1
314,2024-03-11,1,26.0,7.0,1
315,2024-03-12,1,31.0,6.54,1
316,2024-03-13,1,,7.78,0
317,2024-03-14,1,,6.35,0
318,2024-03-15,1,38.0,6.95,1
319,2024-03-18,1,31.0,6.22,1
320,2024-03-19,1,,7.54,0
321,2024-03-20,1,21.0,6.05,1
322,2024-03-21,1,36.0,7.67,1
323,2024-03-22,1,29.0,7.04,1
324,2024-03-25,1,29.0,7.61,1
325,2024-03-26,1,26.0,6.38,1
326,2024-03-27,1,,6.43,0
327,2024-03-28,1,,7.84,0
328,2024-03-29,1,39.0,6.64,1
329,2024-04-01,1,32.0,6.48,1
330,2024-04-02,1,,7.96,0
331,2024-04-03,1,37.0,6.18,1
332,2024-04-04,1,26.0,7.21,1
333,2024-04-05,1,26.0,7.37,1
334,2024-04-08,1,,7.68,0
335,2024-04-09,1,,7.55,0
336,2024-04-10,1,29.0,6.38,1
337,2024-04-11,1,,7.89,0
338,2024-04-12,1,26.0,7.65,1
339,2024-04-15,1,39.0,7.79,1
340,2024-04-16,1,24.0,6.2,1
341,2024-04-17,1,39.0,7.94,1
342,2024-04-18,1,29.0,6.41,1
343,2024-04-19,1,36.0,7.47,1
344,2024-04-22,1,,6.21,0
345,2024-04-23,1,40.0,6.66,1
346,2024-04-24,1,36.0,7.49,1
347,2024-04-25,1,40.0,6.48,1
348,2024-04-26,1,35.0,6.82,1
349,2024-04-29,1,38.0,6.99,1
350,2024-04-30,1,40.0,7.28,1
351,2024-05-01,1,29.0,7.95,1
352,2024-05-02,1,29.0,7.11,1
353,2024-05-03,1,,7.33,0
354,2024-05-06,1,39.0,6.67,1
355,2024-05-07,1,35.0,7.86,1
356,2024-05-08,1,29.0,6.17,1
357,2024-05-09,1,35.0,7.85,1
358,2024-05-10,1,43.0,6.39,1
359,2024-05-13,1,45.0,7.45,1
360,2024-05-14,1,,6.87,0
361,2024-05-15,1,39.0,7.64,1
362,2024-05-16,1,,7.5,0
363,2024-05-17,1,29.0,6.05,1
364,2024-05-20,1,40.0,7.69,1
365,2024-05-21,1,,6.74,0
366,2024-05-22,1,,6.33,0
367,2024-05-23,1,42.0,6.32,1
368,2024-05-24,1,,7.93,0
369,2024-05-27,1,45.0,6.37,1
370,2024-05-28,1,38.0,7.99,1
371,2024-05-29,1,35.0,6.54,1
372,2024-05-30,1,,6.78,0
373,2024-05-31,1,38.0,6.25,1
374,2024-06-03,1,35.0,7.05,1
375,2024-06-04,1,,7.02,0
376,2024-06-05,1,39.0,6.12,1
377,2024-06-06,1,45.0,7.71,1
378,2024-06-07,1,38.0,6.91,1
379,2024-06-10,1,,7.86,0
380,2024-06-11,1,,6.79,0
381,2024-06-12,1,40.0,7.48,1
382,2024-06-13,1,45.0,6.81,1
383,2024-06-14,1,40.0,7.69,1
384,2024-06-17,1,38.0,6.62,1
385,2024-06-18,1,40.0,7.19,1
386,2024-06-19,1,36.0,7.81,1
387,2024-06-20,1,38.0,6.11,1
388,2024-06-21,1,35.0,6.81,1
389,2024-06-24,1,44.0,6.65,1
390,2024-06-25,1,,6.29,0
391,2024-06-26,1,42.0,6.73,1
392,2024-06-27,1,45.0,6.54,1
393,2024-06-28,1,39.0,6.99,1
394,2023-01-02,2,,7.76,0
395,2023-01-03,2,,6.69,0
396,2023-01-04,2,,6.38,0
397,2023-01-05,2,,6.17,0
398,2023-01-06,2,,7.14,0
399,2023-01-09,2,,6.92,0
400,2023-01-10,2,1.0,6.81,1
401,2023-01-11,2,1.0,6.87,1
402,2023-01-12,2,1.0,6.07,1
403,2023-01-13,2,1.0,7.02,1
404,2023-01-16,2,2.0,7.19,1
405,2023-01-17,2,,6.65,0
406,2023-01-18,2,1.0,6.05,1
407,2023-01-19,2,1.0,7.96,1
408,2023-01-20,2,1.0,7.5,1
409,2023-01-22,2,2.0,3.1,1
410,2023-01-23,2,1.0,7.34,1
411,2023-01-24,2,2.0,7.3,1
412,2023-01-25,2,1.0,7.52,1
413,2023-01-26,2,1.0,6.96,1
414,2023-01-27,2,2.0,7.74,1
415,2023-01-30,2,1.0,7.93,1
416,2023-01-31,2,1.0,7.28,1
417,2023-02-01,2,1.0,7.03,1
418,2023-02-02,2,1.0,7.34,1
419,2023-02-03,2,1.0,6.14,1
420,2023-02-06,2,2.0,6.41,1
421,2023-02-07,2,1.0,6.52,1
422,2023-02-08,2,2.0,7.57,1
423,2023-02-09,2,1.0,7.39,1
424,2023-02-10,2,2.0,7.62,1
425,2023-02-13,2,2.0,7.88,1
426,2023-02-14,2,3.0,6.13,1
427,2023-02-15,2,1.0,6.8,1
428,2023-02-16,2,,6.52,0
429,2023-02-17,2,2.0,7.67,1
430,2023-02-19,2,5.0,2.56,1
431,2023-02-20,2,,7.4,0
432,2023-02-21,2,6.0,7.81,1
433,2023-02-22,2,3.0,6.9,1
434,2023-02-23,2,2.0,7.07,1
435,2023-02-24,2,2.0,7.26,1
436,2023-02-27,2,6.0,7.52,1
437,2023-02-28,2,2.0,6.35,1
438,2023-03-01,2,5.0,7.49,1
439,2023-03-02,2,5.0,7.44,1
440,2023-03-03,2,3.0,7.4,1
441,2023-03-06,2,2.0,6.15,1
442,2023-03-07,2,,6.89,0
443,2023-03-08,2,5.0,6.82,1
444,2023-03-09,2,,6.41,0
445,2023-03-10,2,6.0,7.85,1
446,2023-03-13,2,3.0,7.58,1
447,2023-03-14,2,,7.23,0
448,2023-03-15,2,8.0,7.36,1
449,2023-03-16,2,5.0,6.62,1
450,2023-03-17,2,4.0,7.68,1
451,2023-03-20,2,9.0,7.99,1
452,2023-03-21,2,,7.74,0
453,2023-03-22,2,,7.22,0
454,2023-03-23,2,4.0,7.75,1
455,2023-03-24,2,,6.92,0
456,2023-03-27,2,6.0,6.42,1
457,2023-03-28,2,,6.56,0
458,2023-03-29,2,6.0,7.45,1
459,2023-03-30,2,4.0,7.15,1
460,2023-03-31,2,2.0,7.15,1
461,2023-04-03,2,4.0,6.81,1
462,2023-04-04,2,,7.72,0
463,2023-04-05,2,,7.44,0
464,2023-04-06,2,2.0,7.98,1
465,2023-04-07,2,5.0,7.04,1
466,2023-04-10,2,11.0,7.67,1
467,2023-04-11,2,8.0,7.68,1
468,2023-04-12,2,3.0,6.9,1
469,2023-04-13,2,,7.48,0
470,2023-04-14,2,7.0,7.59,1
471,2023-04-17,2,4.0,7.68,1
472,2023-04-18,2,10.0,7.05,1
473,2023-04-19,2,7.0,7.06,1
474,2023-04-20,2,2.0,7.54,1
475,2023-04-21,2,5.0,7.64,1
476,2023-04-22,2,4.0,2.7,1
477,2023-04-24,2,9.0,7.99,1
478,2023-04-25,2,10.0,6.08,1
479,2023-04-26,2,12.0,6.83,1
480,2023-04-27,2,,7.36,0
481,2023-04-28,2,11.0,6.01,1
482,2023-05-01,2,2.0,7.35,1
483,2023-05-02,2,10.0,7.11,1
484,2023-05-03,2,,6.58,0
485,2023-05-04,2,,7.96,0
486,2023-05-05,2,7.0,7.22,1
487,2023-05-08,2,8.0,6.41,1
488,2023-05-09,2,7.0,7.65,1
489,2023-05-10,2,5.0,7.04,1
490,2023-05-11,2,2.0,6.64,1
491,2023-05-12,2,5.0,6.26,1
492,2023-05-15,2,8.0,7.55,1
493,2023-05-16,2,14.0,6.09,1
494,2023-05-17,2,7.0,6.63,1
495,2023-05-18,2,,6.12,0
496,2023-05-19,2,13.0,7.15,1
497,2023-05-22,2,7.0,7.21,1
498,2023-05-23,2,11.0,6.02,1
499,2023-05-24,2,,6.77,0
500,2023-05-25,2,2.0,7.3,1
501,2023-05-26,2,,7.11,0
502,2023-05-29,2,9.0,7.58,1
503,2023-05-30,2,9.0,7.31,1
504,2023-05-31,2,9.0,7.11,1
505,2023-06-01,2,2.0,6.71,1
506,2023-06-02,2,8.0,7.31,1
507,2023-06-05,2,15.0,7.31,1
508,2023-06-06,2,3.0,7.06,1
509,2023-06-07,2,7.0,7.36,1
510,2023-06-08,2,7.0,6.91,1
511,2023-06-09,2,5.0,7.9,1
512,2023-06-12,2,15.0,7.35,1
513,2023-06-13,2,10.0,7.07,1
514,2023-06-14,2,14.0,6.01,1
515,2023-06-15,2,12.0,7.89,1
516,2023-06-16,2,8.0,7.97,1
517,2023-06-19,2,14.0,6.04,1
518,2023-06-20,2,7.0,6.43,1
519,2023-06-21,2,14.0,7.4,1
520,2023-06-22,2,11.0,6.55,1
521,2023-06-23,2,3.0,7.91,1
522,2023-06-26,2,7.0,7.54,1
523,2023-06-27,2,7.0,6.06,1
524,2023-06-28,2,10.0,6.36,1
525,2023-06-29,2,5.0,7.48,1
526,2023-06-30,2,9.0,7.34,1
527,2023-07-03,2,10.0,6.07,1
528,2023-07-04,2,17.0,6.43,1
529,2023-07-05,2,5.0,6.83,1
530,2023-07-06,2,3.0,6.98,1
531,2023-07-07,2,,7.83,0
532,2023-07-10,2,11.0,7.9,1
533,2023-07-11,2,18.0,6.86,1
534,2023-07-12,2,13.0,7.91,1
535,2023-07-13,2,7.0,7.95,1
536,2023-07-14,2,16.0,6.07,1
537,2023-07-17,2,16.0,7.56,1
538,2023-07-18,2,7.0,6.23,1
539,2023-07-19,2,,6.92,0
540,2023-07-20,2,11.0,7.45,1
541,2023-07-21,2,15.0,6.35,1
542,2023-07-24,2,5.0,7.25,1
543,2023-07-25,2,12.0,7.12,1
544,2023-07-26,2,12.0,6.77,1
545,2023-07-27,2,14.0,7.89,1
546,2023-07-28,2,5.0,7.22,1
547,2023-07-31,2,5.0,7.13,1
548,2023-08-01,2,8.0,7.73,1
549,2023-08-02,2,20.0,7.72,1
550,2023-08-03,2,3.0,7.97,1
551,2023-08-04,2,,7.03,0
552,2023-08-07,2,5.0,7.75,1
553,2023-08-08,2,16.0,7.18,1
554,2023-08-09,2,3.0,7.64,1
555,2023-08-10,2,16.0,6.01,1
556,2023-08-11,2,8.0,6.94,1
557,2023-08-14,2,16.0,7.8,1
558,2023-08-15,2,14.0,6.49,1
559,2023-08-16,2,11.0,7.04,1
560,2023-08-17,2,15.0,7.06,1
561,2023-08-18,2,21.0,6.38,1
562,2023-08-21,2,12.0,7.11,1
563,2023-08-22,2,3.0,7.07,1
564,2023-08-23,2,,7.55,0
565,2023-08-24,2,23.0,6.91,1
566,2023-08-25,2,,7.32,0
567,2023-08-28,2,8.0,6.6,1
568,2023-08-29,2,23.0,6.4,1
569,2023-08-30,2,8.0,7.39,1
570,2023-08-31,2,21.0,6.97,1
571,2023-09-01,2,15.0,7.41,1
572,2023-09-04,2,,6.47,0
573,2023-09-05,2,,6.5,0
574,2023-09-06,2,3.0,6.65,1
575,2023-09-07,2,,7.74,0
576,2023-09-08,2,11.0,6.47,1
577,2023-09-11,2,20.0,6.23,1
578,2023-09-12,2,,6.75,0
579,2023-09-13,2,,7.95,0
580,2023-09-14,2,,7.99,0
581,2023-09-15,2,21.0,6.49,1
582,2023-09-18,2,,7.8,0
583,2023-09-19,2,,6.95,0
584,2023-09-20,2,19.0,6.97,1
585,2023-09-21,2,20.0,6.62,1
586,2023-09-22,2,,6.33,0
587,2023-09-25,2,22.0,6.43,1
588,2023-09-26,2,21.0,6.41,1
589,2023-09-27,2,24.0,6.55,1
590,2023-09-28,2,24.0,7.41,1
591,2023-09-29,2,23.0,6.17,1
592,2023-10-02,2,22.0,7.65,1
593,2023-10-03,2,24.0,6.18,1
594,2023-10-04,2,22.0,6.24,1
595,2023-10-05,2,23.0,6.41,1
596,2023-10-06,2,22.0,6.36,1
597,2023-10-09,2,24.0,6.21,1
598,2023-10-10,2,,6.05,0
599,2023-10-11,2,20.0,7.05,1
600,2023-10-12,2,,6.09,0
601,2023-10-13,2,23.0,6.21,1
602,2023-10-16,2,24.0,6.71,1
603,2023-10-17,2,20.0,7.1,1
604,2023-10-18,2,25.0,7.46,1
605,2023-10-19,2,20.0,6.49,1
606,2023-10-20,2,24.0,6.07,1
607,2023-10-23,2,,6.13,0
608,2023-10-24,2,,7.73,0
609,2023-10-25,2,20.0,6.3,1
610,2023-10-26,2,25.0,6.13,1
611,2023-10-27,2,21.0,6.48,1
612,2023-10-30,2,25.0,6.36,1
613,2023-10-31,2,20.0,6.34,1
614,2023-11-01,2,27.0,6.96,1
615,2023-11-02,2,22.0,7.19,1
616,2023-11-03,2,26.0,7.33,1
617,2023-11-06,2,21.0,6.13,1
618,2023-11-07,2,22.0,6.89,1
619,2023-11-08,2,20.0,7.39,1
620,2023-11-09,2,25.0,7.44,1
621,2023-11-10,2,,7.88,0
622,2023-11-13,2,21.0,6.86,1
623,2023-11-14,2,21.0,7.06,1
624,2023-11-15,2,24.0,7.14,1
625,2023-11-16,2,26.0,7.13,1
626,2023-11-17,2,27.0,6.86,1
627,2023-11-20,2,,7.02,0
628,2023-11-21,2,,6.86,0
629,2023-11-22,2,27.0,6.3,1
630,2023-11-23,2,24.0,6.65,1
631,2023-11-24,2,29.0,6.2,1
632,2023-11-27,2,,6.93,0
633,2023-11-28,2,,6.51,0
634,2023-11-29,2,,6.84,0
635,2023-11-30,2,31.0,7.49,1
636,2023-12-01,2,29.0,7.55,1
637,2023-12-04,2,22.0,6.34,1
638,2023-12-05,2,22.0,7.88,1
639,2023-12-06,2,,7.75,0
640,2023-12-07,2,32.0,6.35,1
641,2023-12-08,2,25.0,7.08,1
642,2023-12-11,2,16.0,6.31,1
643,2023-12-12,2,25.0,6.66,1
644,2023-12-13,2,31.0,6.9,1
645,2023-12-14,2,26.0,6.82,1
646,2023-12-15,2,,7.38,0
647,2023-12-18,2,29.0,6.82,1
648,2023-12-19,2,32.0,6.66,1
649,2023-12-20,2,,6.65,0
650,2023-12-21,2,21.0,7.21,1
651,2023-12-22,2,34.0,7.05,1
652,2023-12-25,2,,7.11,0
653,2023-12-26,2,34.0,7.09,1
654,2023-12-27,2,32.0,7.41,1
655,2023-12-28,2,21.0,7.15,1
656,2023-12-29,2,34.0,7.09,1
657,2024-01-01,2,34.0,6.82,1
658,2024-01-02,2,32.0,6.46,1
659,2024-01-03,2,32.0,7.07,1
660,2024-01-04,2,16.0,6.8,1
661,2024-01-05,2,29.0,8.0,1
662,2024-01-08,2,29.0,7.51,1
663,2024-01-09,2,16.0,6.32,1
664,2024-01-10,2,22.0,7.89,1
665,2024-01-11,2,31.0,7.9,1
666,2024-01-12,2,29.0,7.18,1
667,2024-01-15,2,,6.8,0
668,2024-01-16,2,,7.71,0
669,2024-01-17,2,,7.32,0
670,2024-01-18,2,33.0,6.95,1
671,2024-01-19,2,31.0,7.8,1
672,2024-01-22,2,21.0,7.88,1
673,2024-01-23,2,29.0,6.2,1
674,2024-01-24,2,,7.36,0
675,2024-01-25,2,36.0,7.78,1
676,2024-01-26,2,32.0,6.59,1
677,2024-01-29,2,35.0,7.61,1
678,2024-01-30,2,,6.59,0
679,2024-01-31,2,37.0,7.5,1
680,2024-02-01,2,29.0,6.48,1
681,2024-02-02,2,34.0,6.24,1
682,2024-02-05,2,35.0,7.93,1
683,2024-02-06,2,29.0,6.25,1
684,2024-02-07,2,34.0,6.62,1
685,2024-02-08,2,22.0,6.71,1
686,2024-02-09,2,32.0,6.91,1
687,2024-02-12,2,34.0,7.45,1
688,2024-02-13,2,,6.48,0
689,2024-02-14,2,37.0,6.43,1
